"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1140.2701416015625, 605.8734741210938)","(1199.1790771484375, 601.7818603515625)","(1075.0843505859375, 623.02783203125)","(1190.2774658203125, 609.5696411132812)","(1023.2919921875, 612.8941650390625)","(1156.6597900390625, 610.3641357421875)","(1047.290283203125, 599.3973388671875)","(1069.0482177734375, 598.8099975585938)","(954.606689453125, 586.7579345703125)","(991.5253295898438, 589.6878662109375)","(873.8004760742188, 577.382080078125)","(921.5936889648438, 578.3246459960938)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1059.529052734375, 23.2508544921875)","(1106.2344970703125, 15.69854736328125)","(1068.88916015625, 43.6849365234375)","(1156.45361328125, 25.60211181640625)","(1080.906005859375, 42.54473876953125)","(1193.5936279296875, 32.4329833984375)","(1147.1502685546875, 34.07843017578125)","(1169.8658447265625, 32.46881103515625)","(1190.40966796875, 37.639892578125)","(1230.4990234375, 38.0306396484375)","(1233.4559326171875, 42.257568359375)","(1284.3134765625, 40.6009521484375)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(771.0147094726562, 305.1194152832031)","(734.9458618164062, 300.29766845703125)","(763.2193603515625, 318.0137023925781)","(697.1034545898438, 305.1931457519531)","(754.3321533203125, 314.2227783203125)","(668.7474975585938, 307.0458679199219)","(701.4122314453125, 305.0505065917969)","(684.1717529296875, 303.763916015625)","(664.31005859375, 301.1565246582031)","(633.8447265625, 301.361572265625)","(625.0819702148438, 298.6277770996094)","(587.0217895507812, 297.08819580078125)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(416.3356018066406, 68.94091796875)","(377.8519592285156, 67.16375732421875)","(413.94940185546875, 78.0203857421875)","(342.4715881347656, 71.54931640625)","(409.68072509765625, 72.453857421875)","(317.9579162597656, 72.06219482421875)","(357.95465087890625, 65.41827392578125)","(339.8110046386719, 65.26214599609375)","(330.5130920410156, 57.99273681640625)","(298.2787170410156, 59.934814453125)","(300.3330078125, 52.1419677734375)","(259.5505065917969, 53.0181884765625)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(897.3964233398438, 662.0081176757812)","(858.89892578125, 663.3363647460938)","(930.7122192382812, 675.3291625976562)","(856.477783203125, 674.8428344726562)","(958.3575439453125, 674.0482788085938)","(870.941650390625, 682.2041625976562)","(939.7443237304688, 675.1853637695312)","(925.1382446289062, 676.9825439453125)","(989.4012451171875, 679.2224731445312)","(964.79736328125, 684.7528686523438)","(1033.7808837890625, 684.732177734375)","(1002.8602905273438, 690.1765747070312)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1435.0894775390625, 444.434326171875)","(1452.7252197265625, 457.34918212890625)","(1403.26416015625, 445.6727294921875)","(1410.0247802734375, 445.8734436035156)","(1399.17626953125, 443.7587585449219)","(1357.81494140625, 441.66766357421875)","(1339.011474609375, 440.4793395996094)","(1306.397705078125, 438.75469970703125)","(1284.0252685546875, 435.4946594238281)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1337.799072265625, 2.707763671875)","(0.0, 0.0)","(0.0, 0.0)","(1185.836669921875, 1.998779296875)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(575.14306640625, 194.8587646484375)","(547.3857421875, 192.99594116210938)","(568.0087280273438, 202.74014282226562)","(517.2464599609375, 196.46170043945312)","(560.44287109375, 197.74118041992188)","(494.3398742675781, 196.62393188476562)","(518.972412109375, 191.078369140625)","(505.5842590332031, 190.79727172851562)","(488.42181396484375, 184.17593383789062)","(464.65960693359375, 185.6396484375)","(456.1632080078125, 178.6368408203125)","(426.48638916015625, 179.13943481445312)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(314.7822570800781, 534.697998046875)","(278.76885986328125, 534.5755004882812)","(343.6071472167969, 546.205078125)","(274.44140625, 543.468505859375)","(367.49713134765625, 545.0133666992188)","(285.7505187988281, 549.1326293945312)","(348.65081787109375, 544.4281616210938)","(334.86962890625, 545.3978271484375)","(390.5014953613281, 547.18798828125)","(367.30615234375, 550.9267578125)","(427.4201354980469, 551.1199951171875)","(398.4391174316406, 554.4959106445312)"
