"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(982.0501098632812, 399.60675048828125)","(1031.95361328125, 441.02520751953125)","(1012.5008544921875, 412.37646484375)","(1038.27294921875, 502.51153564453125)","(1030.7437744140625, 438.9948425292969)","(1035.140625, 551.679443359375)","(1051.118896484375, 501.8529357910156)","(1083.055908203125, 504.38763427734375)","(959.1528930664062, 493.43695068359375)","(1079.1182861328125, 583.5191650390625)","(981.4016723632812, 581.134033203125)","(1123.911865234375, 575.955322265625)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1256.1177978515625, 4.63104248046875)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1203.80810546875, 21.357421875)","(1181.7998046875, 29.92437744140625)","(1136.1455078125, 6.59307861328125)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(669.0527954101562, 183.62030029296875)","(635.1190185546875, 207.47000122070312)","(708.47119140625, 191.96112060546875)","(625.162841796875, 245.341064453125)","(735.3990478515625, 208.493896484375)","(619.000732421875, 275.91748046875)","(703.6763305664062, 245.62759399414062)","(693.1834106445312, 246.02505493164062)","(664.9701538085938, 242.768310546875)","(659.3640747070312, 293.9981689453125)","(672.7166748046875, 296.5605163574219)","(712.9264526367188, 287.884521484375)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(286.1064453125, 10.50164794921875)","(0.0, 0.0)","(280.3397216796875, 38.50738525390625)","(359.99017333984375, 11.33294677734375)","(347.438232421875, 13.0015869140625)","(330.9652099609375, 4.8302001953125)","(315.3262634277344, 56.86767578125)","(336.2292785644531, 54.94342041015625)","(362.8023681640625, 52.892578125)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(986.1122436523438, 573.8831176757812)","(950.7404174804688, 598.4428100585938)","(971.7763671875, 574.902587890625)","(941.7344360351562, 634.5567626953125)","(962.7657470703125, 585.1327514648438)","(939.6072387695312, 663.837646484375)","(943.9091186523438, 621.8782348632812)","(924.214111328125, 623.1541137695312)","(992.8568115234375, 627.4760131835938)","(916.816650390625, 672.5782470703125)","(975.2042846679688, 673.4072875976562)","(899.3429565429688, 656.8999633789062)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1366.7763671875, 323.36505126953125)","(1347.7779541015625, 346.104736328125)","(1408.100341796875, 331.8015441894531)","(1340.7451171875, 383.68817138671875)","(1436.190185546875, 348.7276306152344)","(1335.0057373046875, 414.11474609375)","(1412.329833984375, 385.5926818847656)","(1409.56591796875, 385.3649597167969)","(1358.859130859375, 382.987548828125)","(1379.2850341796875, 432.9737548828125)","(1370.81298828125, 437.02813720703125)","(1435.83251953125, 427.98663330078125)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(789.0869750976562, 627.0814208984375)","(868.8143310546875, 656.5615844726562)","(772.4549560546875, 643.2713623046875)","(0.0, 0.0)","(759.3959350585938, 670.037109375)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(494.7273864746094, 91.2763671875)","(467.9557800292969, 112.0953369140625)","(526.226806640625, 99.4267578125)","(459.4071044921875, 142.5810546875)","(547.4728393554688, 113.5115966796875)","(453.887451171875, 166.900390625)","(521.9097900390625, 143.7513427734375)","(513.9706420898438, 145.2283935546875)","(490.0911560058594, 137.63006591796875)","(486.19537353515625, 183.25955200195312)","(495.5322570800781, 181.60140991210938)","(529.327392578125, 180.28042602539062)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(389.38372802734375, 456.3894348144531)","(356.216796875, 476.048095703125)","(378.6360778808594, 458.30706787109375)","(347.2026672363281, 506.9442138671875)","(371.8216247558594, 467.835693359375)","(344.5668029785156, 532.150390625)","(353.220947265625, 498.4070129394531)","(335.2973327636719, 498.9906005859375)","(394.31927490234375, 502.58740234375)","(326.29656982421875, 540.7889404296875)","(378.5223388671875, 542.3104248046875)","(313.7390441894531, 528.6295166015625)"
